ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA4MC8wMzA3MTAyMi4yMDE3LjEzMjc2NzA                                                       10.1080/03071022.2017.1327670                                          0    0    0.001445778
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA5My9jb25kb3IvMTAyLjEuMTI3                                                              10.1093/condor/102.1.127                                               13   3    0.023336879
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTE3Ny8wMTQxMDc2ODkxMDg0MDA4MDI                                                           10.1177/014107689108400802                                             20   7    0.036631935
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAzOS9kMGFuMDI0Nzlh                                                                      10.1039/d0an02479a                                                     25   0    0.033465159
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwMi9qY2NzLjIwMTQwMDAwOA                                                                10.1002/jccs.201400008                                                 11   5    0.024291248
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwNy85NzgtMy0zMTktMDg0OTQtN180                                                          10.1007/978-3-319-08494-7_4                                            5    4    0.010094654
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi8wMDQzLTEzNTQoOTMpOTAxMDMtbw                                                        10.1016/0043-1354(93)90103-o                                           0    3    0.004954647
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA1My9qLmFqa2QuMjAxMS4wMS4wMzA                                                           10.1053/j.ajkd.2011.01.030                                             38   17   0.062253587
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTE1OC8wMDA4LTU0NzIuY2FuLTE5LTI5OTE                                                       10.1158/0008-5472.can-19-2991                                          40   4    0.041587415
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwMi9qb2JtLjE5NzEwMTEwMjEw                                                              10.1002/jobm.19710110210                                               4    0    0.005753902
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi9qLmVneXByby4yMDE1LjEyLjE4OA                                                        10.1016/j.egypro.2015.12.188                                           0    5    0.009659687
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi9qLmVudmludC4yMDE4LjExLjA3Nw                                                        10.1016/j.envint.2018.11.077                                           38   3    0.041413122
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi8wMTY1LTEyMTgoODYpOTAxMDMtNQ                                                        10.1016/0165-1218(86)90103-5                                           15   11   0.028122598
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwNy9iZjAwMjU4MDUy                                                                      10.1007/bf00258052                                                     4    10   0.022282803
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA4OC8xNzQyLTY1OTYvNzY2LzEvMDEyMDEz                                                      10.1088/1742-6596/766/1/012013                                         2    0    0.004850033
