ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMzEwMy9zMDAyNzEzMzAxMDAxMDA2MQ                                                       10.3103/s0027133010010061                                          0    1     0.002668681
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwMi9obGNhLjE5ODMwNjYwMjIx                                                         10.1002/hlca.19830660221                                           12   3     0.013458599
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi9qLmFqby4yMDA1LjEwLjA1NQ                                                       10.1016/j.ajo.2005.10.055                                          12   1     0.012296814
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTI0My8xMzUwNjUwMWpldDU3Ng                                                           10.1243/13506501jet576                                             3    5     0.012358611
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTEwOS90ZGVpLjIwMTguMDA3MjE4                                                         10.1109/tdei.2018.007218                                           0    5     0.010354296
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTE3Ny8xNi45LjU5MA                                                                   10.1177/16.9.590                                                   0    1     0.003663244
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAxNi9zMDAxNC00ODg2KDYzKTgwMDAyLTM                                                  10.1016/s0014-4886(63)80002-3                                      0    2     0.006754433
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuNTE5NC9hY3AtMTctMTY0MS0yMDE3                                                         10.5194/acp-17-1641-2017                                           18   26    0.047695308
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMzM5MC9mb29kczYwNDAwMzE                                                              10.3390/foods6040031                                               9    5     0.020004902
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTEwMy9waHlzcmV2Yy4xNS45NzI                                                          10.1103/physrevc.15.972                                            10   10    0.026424248
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTAwMi9qLjIwNTAtMDQxNi4yMDExLnRiMDA0NDUueA                                           10.1002/j.2050-0416.2011.tb00445.x                                 8    2     0.016589985
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA1MS9tYXRlY2NvbmYvMjAxNDExMDEwMDU                                                  10.1051/matecconf/20141101005                                      2    0     0.004541031
ai-49-aHR0cDovL2R4LmRvaS5vcmcvMTAuMTA4OC8xNzQyLTY1OTYvMTc2MC8xLzAxMjA1Mg                                               10.1088/1742-6596/1760/1/012052                                    8    0     0.011934836
